rid,fid,lid_1,graph_1,ori_graph_1,lid_2,graph_2,ori_graph_2,cat_1,ori_cat_1,cat_2,ori_cat_2,ori_cple,type_cstr_1,cstr_1,ori_cstr_1,type_cstr_2,cstr_2,ori_cstr_2,complexite,ori_complexite,orientation,ori_orientation,semty_1,ori_semty_1,semty_2,ori_semty_2,sous_semty_1,sous_semty_2,ori_sous_semty_1,ori_sous_semty_2,semtyrss_1,semtyrss_2,ori_semtyrss_1,ori_semtyrss_2,rel_sem_n_1,rel_sem_n_2,ori_relsem,def_conc,ori_def_conc,def_abs,ori_def_abs,commentaires,phon_aff_1,phon_aff_2,phon_stem_1,phon_stem_2,similarity,generalization_1,generalization_2,sim_phon_1,sim_phon_2,comparison,variation_type,generalization_1_mod,generalization_2_mod,sim_phon_1_mod,sim_phon_2_mod,labels_1,labels_2,cstr_1_mod,cstr_2_mod,phon_aff_1_mod,phon_aff_2_mod,orientation_mod
r92394,f231386,l351124,s?cessionniste,denom,l351119,s?cession,denom,Adj,denom,Nf,denom,denom,suf,Xiste,denom,,X,denom,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,ses?sj?n;ses?sj?n,ses?sj??|sesesj??;ses?sj??|sesesj??,"[0.875, 0.875, 0.75, 0.75, 0.875, 0.875, 0.75, 0.75]",Xn,X?,ses?sj?n,ses?sj??,  s;  e;  s;  ?;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,ses?sj?n,ses?sj??,Adj:,Nf:,Xiste,X,.ist,,des2as
r204502,f231386,l351124,s?cessionniste,dimoc,l351119,s?cession,dimoc,Adj,nouveau,Nf,dimoc,dimoc,suf,Xiste,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,ses?sj?n;ses?sj?n,ses?sj??|sesesj??;ses?sj??|sesesj??,"[0.875, 0.875, 0.75, 0.75, 0.875, 0.875, 0.75, 0.75]",Xn,X?,ses?sj?n,ses?sj??,  s;  e;  s;  ?;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,ses?sj?n,ses?sj??,Adj:,Nf:,Xiste,X,.ist,,des2as
r204504,f231386,l351126,s?cessionniste,dimoc,l351119,s?cession,dimoc,Nm,nouveau,Nf,dimoc,dimoc,suf,Xiste,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,ses?sj?n;ses?sj?n,ses?sj??|sesesj??;ses?sj??|sesesj??,"[0.875, 0.875, 0.75, 0.75, 0.875, 0.875, 0.75, 0.75]",Xn,X?,ses?sj?n,ses?sj??,  s;  e;  s;  ?;  s;  j;  ?;- n;+ ?,l?gitime,Xn,X?,ses?sj?n,ses?sj??,Nm:,Nf:,Xiste,X,.ist,,des2as
r92395,f231386,l351119,s?cession,denom,l351124,s?cessionniste,denom,Nf,denom,Adj,denom,denom,,X,denom,suf,Xiste,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ist,ses?sj??|sesesj??;ses?sj??|sesesj??,ses?sj?n;ses?sj?n,"[0.875, 0.75, 0.875, 0.75, 0.875, 0.75, 0.875, 0.75]",X?,Xn,ses?sj??,ses?sj?n,  s;  e;  s;  ?;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,ses?sj??,ses?sj?n,Nf:,Adj:,X,Xiste,,.ist,as2des
r204503,f231386,l351119,s?cession,dimoc,l351124,s?cessionniste,dimoc,Nf,dimoc,Adj,nouveau,dimoc,,X,nouveau,suf,Xiste,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ist,ses?sj??|sesesj??;ses?sj??|sesesj??,ses?sj?n;ses?sj?n,"[0.875, 0.75, 0.875, 0.75, 0.875, 0.75, 0.875, 0.75]",X?,Xn,ses?sj??,ses?sj?n,  s;  e;  s;  ?;  s;  j;  ?;- ?;+ n,l?gitime,X?,Xn,ses?sj??,ses?sj?n,Nf:,Adj:,X,Xiste,,.ist,as2des
r128642,f128259,l180219,d?chet,dimoc,l180258,d?choir,dimoc,Nm,dimoc,V,dimoc,dimoc,suf,Xet,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?,,de?;de?,;de?wa;de?wa;de?waj;;;de?wa;de?waj;de?wa;de?wa;de?y;de?y,"[0.0, 0.0, 0.75, 0.75, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.75, 0.75, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.75, 0.75, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]",X,Y,,,,? neutraliser,X,Xy,de?,de?y,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xet,X,.?,,des2as
r219272,f128259,l180276,d?ch?ance,tlfnome,l180258,d?choir,tlfnome,Nf,tlfnome,V,tlfnome,verbaction,suf,Xance,nouveau,conv,X,nouveau,motiv-sem,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.’s,,de?e;de?e,;de?wa;de?wa;de?waj;;;de?wa;de?waj;de?wa;de?wa;de?y;de?y,"[0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.75, 0.75]",X,Y,,,,? neutraliser,Xe,Xy,de?e,de?y,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xance,X,.??s,,des2as
r128643,f128259,l180258,d?choir,dimoc,l180219,d?chet,dimoc,V,dimoc,Nm,dimoc,dimoc,,X,nouveau,suf,Xet,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.?,;de?wa;de?wa;de?waj;;;de?wa;de?waj;de?wa;de?wa;de?y;de?y,de?;de?,"[0.0, 0.75, 0.75, 0.6666666666666666, 0.0, 0.0, 0.75, 0.6666666666666666, 0.75, 0.75, 0.8571428571428571, 0.8571428571428571, 0.0, 0.75, 0.75, 0.6666666666666666, 0.0, 0.0, 0.75, 0.6666666666666666, 0.75, 0.75, 0.8571428571428571, 0.8571428571428571]",X,Y,,,,? neutraliser,Xy,X,de?y,de?,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xet,,.?,as2des
r219273,f128259,l180258,d?choir,tlfnome,l180276,d?ch?ance,tlfnome,V,tlfnome,Nf,tlfnome,verbaction,conv,X,nouveau,suf,Xance,nouveau,motiv-sem,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.’s,;de?wa;de?wa;de?waj;;;de?wa;de?waj;de?wa;de?wa;de?y;de?y,de?e;de?e,"[0.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.0, 0.0, 0.6666666666666666, 0.6, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75, 0.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.0, 0.0, 0.6666666666666666, 0.6, 0.6666666666666666, 0.6666666666666666, 0.75, 0.75]",X,Y,,,,? neutraliser,Xy,Xe,de?y,de?e,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xance,,.??s,as2des
r95496,f222407,l383012,?cologique,denom,l383011,?cologie,denom,Adj,denom,Nf,denom,denom,suf,Xique,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ik,,ek?l??;ek?l??,ek?l??i;ek?l??i,"[0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231]",X,Xi,ek?l??,ek?l??i,  e;  k;  ?;  l;  ?;  ?;+ i,? neutraliser,X,Xi,ek?l??,ek?l??i,Adj:,Nf:,Xique,X,.ik,,des2as
r114633,f214320,l92857,admis,derif,l226724,inadmis,derif,Adj,derif,Adj,derif,derif,,X,nouveau,pre,inX,nouveau,simple,nouveau,as2des,derif,,,,,,,,,,,,,,,,,,,,,,i.,admi,nadmi;nadmi;nadmiz;nadmiz,"[0.8888888888888888, 0.8888888888888888, 0.8, 0.8]",X,nX,admi,nadmi,+ n;  a;  d;  m;  i,? neutraliser,X,X,admi,admi,Adj:,Adj:,X,inX,,i.,as2des
r221832,f223515,l351055,s?ance,tlfnome,l338610,seoir,tlfnome,Nf,tlfnome,V,tlfnome,verbaction,suf,Xance,nouveau,conv,X,nouveau,motiv-sem,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.’s,,se,s?j;sje;sje;s?j;;;sje;;swa;sje;;,"[0.4, 0.8, 0.8, 0.4, 0.0, 0.0, 0.8, 0.0, 0.4, 0.8, 0.0, 0.0]",X,Y,,,,? neutraliser,XY,XjY,se,sje,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xance,X,.??s,,des2as
r221833,f223515,l338610,seoir,tlfnome,l351055,s?ance,tlfnome,V,tlfnome,Nf,tlfnome,verbaction,conv,X,nouveau,suf,Xance,nouveau,motiv-sem,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.’s,s?j;sje;sje;s?j;;;sje;;swa;sje;;,se,"[0.4, 0.8, 0.8, 0.4, 0.0, 0.0, 0.8, 0.0, 0.4, 0.8, 0.0, 0.0]",X,Y,,,,? neutraliser,XjY,XY,sje,se,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nf:,X,Xance,,.??s,as2des
r115725,f135703,l387193,?tendu,derif,l230939,in?tendu,derif,Adj,derif,Adj,derif,derif,,X,nouveau,pre,inX,nouveau,simple,nouveau,as2des,derif,,,,,,,,,,,,,,,,,,,,,,i.,et’dy;et’dy;et’dy;et’dy,net’dy;net’dy;net’dy;net’dy,"[0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091]",X,nX,et’dy,net’dy,+ n;  e;  t;  ’;  d;  y,? neutraliser,X,X,et??dy,et??dy,Adj:,Adj:,X,inX,,i.,as2des
r115717,f55759,l386385,?puis?,derif,l230923,in?puis?,derif,Adj,derif,Adj,derif,derif,,X,nouveau,pre,inX,nouveau,simple,nouveau,as2des,derif,,,,,,,,,,,,,,,,,,,,,,i.,ep?ize;ep?ize;ep?ize;ep?ize,nep?ize;nep?ize;nep?ize;nep?ize,"[0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231]",X,nX,ep?ize,nep?ize,+ n;  e;  p;  ?;  i;  z;  e,? neutraliser,X,X,ep?ize,ep?ize,Adj:,Adj:,X,inX,,i.,as2des
r112257,f195202,l186980,emplumer,derif,l184129,d?semplumer,derif,V,derif,V,derif,derif,,X,nouveau,pre,d?1X,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,de.,’plym;’plym;’plym;’plym;’plym;’plym;’plym;’plym;’plyme;’plym?;’plyma;’plyme,z’plym;z’plym;z’plym;z’plym;z’plym;z’plym;z’plym;z’plym;z’plyme;z’plym?;z’plyma;z’plyme,"[0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9230769230769231, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.7692307692307693, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.9230769230769231, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231]",Xe,zX,’plyme,z’plym,+ z;  ’;  p;  l;  y;  m;- e,? neutraliser,X,X,??plyme,??plyme,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,X,d?1X,,dez.,as2des
r93214,f227675,l345428,spirituel,denom,l191029,esprit,denom,Adj,denom,Nm,denom,denom,suf,Xuel,denom,,X,denom,motiv-sem,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??l,,spi?it;spi?it;spi?it;spi?it,?sp?i;?sp?i,"[0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273]",XiYt,?XY,spi?it,?sp?i,+ ?;  s;  p;- i;  ?;  i;- t,suppletion,,,spi?it,?sp?i,Adj:,Nm:,Xuel,X,.??l,,des2as
r209588,f227675,l256565,mentalit?,mordan,l191029,esprit,nouveau,Nf,nouveau,Nm,nouveau,nouveau,suf,Xalit?,nouveau,,X,nouveau,motiv-sem,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.alite,,m’t;m’t,?sp?i;?sp?i,"[0.0, 0.0, 0.0, 0.0]",X,Y,,,,suppletion,,,,,Nf:,Nm:,Xalit?,X,.alite,,
r112266,f132108,l184142,d?semp?trer,derif,l187132,emp?trer,derif,V,derif,V,derif,derif,pre,d?1X,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,de.,,z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?e;z’p?t??;z’p?t?a;z’p?t?e,’pet?;’pet?;’pet?;’pet?;’pet?;’pet?;’pet?;’pet?;’pet?e;’pet??;’pet?a;’pet?e,"[0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6153846153846154, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.6153846153846154, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693]",zX?Ye,XeY,z’p?t?e,’pet?,- z;  ’;  p;- ?;+ e;  t;  ?;- e,? neutraliser,X,X,??pet?,??pet?,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,d?1X,X,dez.,,des2as
r112267,f132108,l187132,emp?trer,derif,l184142,d?semp?trer,derif,V,derif,V,derif,derif,,X,nouveau,pre,d?1X,nouveau,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,de.,’pet?;’pet?;’pet?;’pet?;’pet?;’pet?;’pet?;’pet?;’pet?e;’pet??;’pet?a;’pet?e,z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?;z’p?t?e;z’p?t??;z’p?t?a;z’p?t?e,"[0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.7272727272727273, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6153846153846154, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.6153846153846154, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7692307692307693, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693]",XeYe,zX?Y,’pet?e,z’p?t?,+ z;  ’;  p;- e;+ ?;  t;  ?;- e,? neutraliser,X,X,??pet?e,??pet?e,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,X,d?1X,,dez.,as2des
r195629,f182010,l320344,rien,dimoc,l273061,nihilisme,dimoc,Adv,nouveau,Nm,dimoc,dimoc,,X,nouveau,suf,Xisme,nouveau,motiv-sem,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ism,?j??,niil;niil,"[0.0, 0.0]",X,Y,,,,suppletion,,,,,Adv:,Nm:,X,Xisme,,.ism,
r218924,f182010,l273062,nihiliste,dimoc,l320344,rien,dimoc,Adj,nouveau,Adv,nouveau,dimoc,suf,Xiste,nouveau,,X,nouveau,motiv-sem,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,niil;niil,?j??,"[0.0, 0.0]",X,Y,,,,suppletion,,,,,Adj:,Adv:,Xiste,X,.ist,,
r195628,f182010,l273061,nihilisme,dimoc,l320344,rien,dimoc,Nm,dimoc,Adv,nouveau,dimoc,suf,Xisme,nouveau,,X,nouveau,motiv-sem,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ism,,niil;niil,?j??,"[0.0, 0.0]",X,Y,,,,suppletion,,,,,Nm:,Adv:,Xisme,X,.ism,,
r218926,f182010,l273064,nihiliste,dimoc,l320344,rien,dimoc,Nm,nouveau,Adv,nouveau,dimoc,suf,Xiste,nouveau,,X,nouveau,motiv-sem,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ist,,niil;niil,?j??,"[0.0, 0.0]",X,Y,,,,suppletion,,,,,Nm:,Adv:,Xiste,X,.ist,,
r218925,f182010,l320344,rien,dimoc,l273062,nihiliste,dimoc,Adv,nouveau,Adj,nouveau,dimoc,,X,nouveau,suf,Xiste,nouveau,motiv-sem,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ist,?j??,niil;niil,"[0.0, 0.0]",X,Y,,,,suppletion,,,,,Adv:,Adj:,X,Xiste,,.ist,
r93680,f81790,l99393,anarchique,denom,l99392,anarchie,denom,Adj,denom,Nf,denom,denom,suf,Xique,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ik,,ana??;ana??,ana??i;ana??i,"[0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9090909090909091]",X,Xi,ana??,ana??i,  a;  n;  a;  ?;  ?;+ i,? neutraliser,X,Xi,ana??,ana??i,Adj:,Nf:,Xique,X,.ik,,des2as
r199463,f196358,l26254,Dieu,dimoc,l109281,ath?iste,dimoc,Nm,dimoc,Nm,nouveau,dimoc,,X,nouveau,pre-suf,aXiste,nouveau,motiv-sem,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,a.ist,dj?,te;te,"[0.0, 0.0]",X,Y,,,,suppletion,,,,,Nm:,Nm:,X,aXiste,,a.ist,
